ensembl_gene_id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06
ENSG00000000003	179	199	183	186	111	125
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	355	339	377	331	220	287
ENSG00000000457	100	82	107	139	76	95
ENSG00000000460	234	197	221	313	242	269
ENSG00000000938	1	2	0	0	0	0
ENSG00000000971	170	137	217	348	228	218
ENSG00000001036	397	430	447	1930	1419	1897
ENSG00000001084	107	132	154	108	95	73
ENSG00000001167	441	438	681	702	495	586
ENSG00000001460	134	179	183	336	214	352
ENSG00000001461	949	1154	1299	1797	1237	1479
ENSG00000001497	526	855	512	925	554	948
ENSG00000001561	0	0	0	0	3	0
ENSG00000001617	30	44	32	204	84	168
ENSG00000001626	0	0	0	0	1	0
ENSG00000001629	739	667	956	1184	971	834
ENSG00000001630	45	55	64	118	58	87
ENSG00000001631	74	51	81	105	90	107
ENSG00000002016	70	54	73	119	74	79
ENSG00000002079	6	3	0	4	3	3
ENSG00000002330	498	850	349	1010	604	1215
ENSG00000002549	485	689	535	837	574	887
ENSG00000002586	3520	5250	2965	9674	5523	9658
ENSG00000002587	0	0	0	0	0	0
ENSG00000002726	1	0	0	0	0	0
ENSG00000002745	0	0	0	0	1	0
ENSG00000002746	270	329	231	318	185	254
ENSG00000002822	1	1	0	0	2	2
ENSG00000002834	8095	10418	7212	17769	9559	13947
ENSG00000002919	418	504	385	479	282	502
ENSG00000002933	0	0	0	0	0	0
ENSG00000003056	862	1193	812	1404	959	1368
ENSG00000003096	1	0	0	0	0	0
ENSG00000003137	3	3	2	3	0	1
ENSG00000003147	0	0	0	0	0	0
ENSG00000003249	73	99	30	50	25	48
ENSG00000003393	626	584	695	525	387	399
ENSG00000003400	11	23	4	6	7	6
ENSG00000003402	414	405	521	277	185	237
ENSG00000003436	245	226	317	308	223	251
ENSG00000003509	122	133	103	61	53	57
ENSG00000003756	807	744	755	1090	747	985
ENSG00000003987	0	3	0	1	0	1
ENSG00000003989	35	47	103	62	37	46
ENSG00000004059	835	1274	536	1472	837	1490
ENSG00000004139	382	415	236	392	245	276
ENSG00000004142	1672	2222	1193	2677	1724	2312
ENSG00000004399	2348	2933	2013	5211	2436	3282
ENSG00000004455	1081	1470	819	1899	1117	1848
ENSG00000004468	0	0	1	1	1	1
ENSG00000004478	1507	2307	1277	2593	1535	2672
ENSG00000004487	1039	1176	1161	1708	1290	1534
ENSG00000004534	581	617	758	859	670	821
ENSG00000004660	362	453	289	364	193	283
ENSG00000004700	1290	1115	1843	1870	1557	1555
ENSG00000004766	249	194	338	348	271	289
ENSG00000004776	40	45	28	49	26	33
ENSG00000004777	72	98	96	368	161	239
ENSG00000004779	460	568	541	638	469	709
ENSG00000004799	1	1	0	0	0	2
ENSG00000004809	1	0	0	1	0	0
ENSG00000004838	13	22	9	11	5	12
ENSG00000004846	1	0	0	0	1	0
ENSG00000004848	0	1	0	2	0	0
ENSG00000004864	175	245	249	258	198	206
ENSG00000004866	283	316	240	448	302	379
ENSG00000004897	1064	954	1602	1348	1265	1082
ENSG00000004939	0	0	1	0	0	0
ENSG00000004948	0	0	0	0	0	0
ENSG00000004961	493	600	582	820	501	701
ENSG00000004975	561	828	562	1524	828	1300
ENSG00000005001	4	6	0	7	6	6
ENSG00000005007	1278	1736	1525	2864	1589	2256
ENSG00000005020	248	255	461	442	344	323
ENSG00000005022	3101	4496	2152	4830	2725	5254
ENSG00000005059	131	142	185	230	237	251
ENSG00000005073	433	582	493	960	543	747
ENSG00000005075	277	432	192	503	307	643
ENSG00000005100	361	404	556	858	535	637
ENSG00000005102	12	18	1	4	1	5
ENSG00000005108	1	0	1	2	1	3
ENSG00000005156	438	498	419	718	472	605
ENSG00000005175	381	365	487	504	484	517
ENSG00000005187	3	9	4	4	5	2
ENSG00000005189	103	109	110	159	131	167
ENSG00000005194	626	766	503	877	541	844
ENSG00000005206	147	255	185	564	249	398
ENSG00000005238	494	657	479	1203	614	905
ENSG00000005243	1113	1470	859	1617	940	1469
ENSG00000005249	35	35	85	76	41	63
ENSG00000005302	324	365	342	424	322	388
ENSG00000005339	856	1054	960	1963	1241	1329
ENSG00000005379	9	9	9	9	6	13
ENSG00000005381	1	0	0	0	0	0
ENSG00000005421	0	0	0	1	0	0
ENSG00000005436	108	78	193	61	66	60
ENSG00000005448	470	599	380	426	221	405
ENSG00000005469	246	236	300	198	156	162
ENSG00000005471	33	21	14	8	5	9
ENSG00000005483	453	514	769	861	603	485
ENSG00000005486	582	872	379	952	453	807
ENSG00000005513	4	1	2	1	0	1
ENSG00000005700	886	711	1329	1301	1116	931
ENSG00000005801	97	123	130	142	121	132
ENSG00000005810	767	592	1034	1366	1004	836
ENSG00000005812	672	520	892	900	684	716
ENSG00000005844	0	1	0	0	1	1
ENSG00000005882	396	600	267	838	441	601
ENSG00000005884	3415	4692	2749	6369	3241	4751
ENSG00000005889	289	245	371	435	296	279
ENSG00000005893	1036	940	1246	1504	1341	1421
ENSG00000005961	3	11	3	2	3	3
ENSG00000005981	0	0	0	0	1	0
ENSG00000006007	1112	1287	814	1142	800	1115
ENSG00000006015	208	247	216	432	233	454
ENSG00000006016	80	130	50	24	3	15
ENSG00000006025	82	127	61	284	145	151
ENSG00000006042	1264	1616	989	1567	855	1520
ENSG00000006047	0	1	0	1	0	1
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	32	64	64	218	107	196
ENSG00000006071	0	0	0	1	0	1
ENSG00000006116	0	0	1	0	0	1
ENSG00000006118	714	985	648	1099	542	763
ENSG00000006125	3152	3288	2548	3905	2448	3158
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	314	364	264	560	425	511
ENSG00000006210	0	0	1	4	1	0
ENSG00000006282	1286	1799	732	1552	805	1378
ENSG00000006283	11	21	12	10	8	10
ENSG00000006327	3973	6196	3312	8485	5012	10628
ENSG00000006377	0	0	0	0	0	1
ENSG00000006432	0	0	1	5	7	7
ENSG00000006451	881	941	1495	1351	1197	1171
ENSG00000006453	252	252	234	532	296	388
ENSG00000006459	70	38	117	63	43	54
ENSG00000006468	85	103	127	104	84	87
ENSG00000006530	230	263	276	391	276	433
ENSG00000006534	380	473	222	290	150	233
ENSG00000006555	0	0	0	0	0	0
ENSG00000006576	670	506	886	1041	864	788
ENSG00000006606	3	1	0	2	0	3
ENSG00000006607	453	460	499	394	264	285
ENSG00000006611	0	1	0	0	0	0
ENSG00000006625	112	197	217	229	199	309
ENSG00000006634	189	172	303	266	192	252
ENSG00000006638	35	62	42	102	40	74
ENSG00000006652	595	553	806	1630	1245	1472
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	168	183	146	256	160	198
ENSG00000006704	289	399	300	914	376	651
ENSG00000006712	798	1204	636	1480	857	1353
ENSG00000006715	452	375	488	843	654	655
ENSG00000006740	75	77	65	139	80	95
ENSG00000006744	1029	1159	1070	1899	1102	1674
ENSG00000006747	1	6	4	9	4	10
ENSG00000006756	170	227	135	159	102	144
ENSG00000006757	66	69	45	8	0	0
ENSG00000006788	0	2	0	1	0	1
ENSG00000006831	903	1129	1117	1936	1275	1671
ENSG00000006837	3	5	1	8	7	10
ENSG00000007001	0	0	0	0	0	0
ENSG00000007038	0	0	0	1	0	0
ENSG00000007047	377	533	237	535	308	457
ENSG00000007062	0	0	0	0	0	0
ENSG00000007080	807	1325	530	1277	790	1505
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	2101	2075	2535	3755	2608	2686
ENSG00000007171	0	0	0	2	0	0
ENSG00000007174	0	1	0	0	0	1
ENSG00000007202	3803	4761	3125	6878	3974	5010
ENSG00000007216	0	0	0	1	0	0
ENSG00000007237	9	7	8	1	1	0
ENSG00000007255	27	17	2	17	13	12
ENSG00000007264	0	0	2	1	4	0
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	0	0	0	1	0	0
ENSG00000007314	0	2	2	1	1	0
ENSG00000007341	121	135	98	174	139	150
ENSG00000007350	0	1	0	1	0	0
ENSG00000007372	3	1	0	2	2	0
ENSG00000007376	353	518	209	808	409	781
ENSG00000007384	508	832	448	1245	586	916
ENSG00000007392	317	331	378	706	401	564
ENSG00000007402	3	0	4	2	5	3
ENSG00000007516	0	0	1	0	0	0
ENSG00000007520	757	1337	369	954	606	1301
ENSG00000007541	338	567	230	667	355	585
ENSG00000007545	88	126	125	230	153	170
ENSG00000007866	1697	2374	1344	3536	1798	2818
