cell_id	sample_id	blinded_cohort	seurat_cluster	n_counts	n_features	percent_mito
cell_00001	sample_03	cohort_gamma	2	21571.0	3862	5.349775161095916
cell_00002	sample_03	cohort_gamma	6	844.0	426	20.023696682464458
cell_00003	sample_04	cohort_gamma	5	24557.0	4510	4.214684204096591
cell_00004	sample_04	cohort_gamma	4	15565.0	2292	3.7841310632830067
cell_00005	sample_04	cohort_gamma	3	5370.0	2179	0.4655493482309125
cell_00006	sample_04	cohort_gamma	4	15356.0	3130	3.744464704350091
cell_00007	sample_04	cohort_gamma	2	13735.0	3181	2.009464870768111
cell_00008	sample_04	cohort_gamma	2	17335.0	3482	2.665128353042977
cell_00009	sample_04	cohort_gamma	3	5182.0	2265	0.32805866460825933
cell_00010	sample_04	cohort_gamma	1	15687.0	3405	3.3467202141900936
cell_00011	sample_04	cohort_gamma	2	19706.0	3813	2.978788186339186
cell_00012	sample_04	cohort_gamma	5	6257.0	2028	9.860955729582868
cell_00013	sample_04	cohort_gamma	1	8727.0	2025	2.841755471525152
cell_00014	sample_04	cohort_gamma	1	17213.0	3270	5.397083599604949
cell_00015	sample_04	cohort_gamma	2	10697.0	2557	2.4305880153314012
cell_00016	sample_04	cohort_gamma	1	16076.0	3201	2.94849465041055
cell_00017	sample_04	cohort_gamma	1	11453.0	2547	3.335370645245787
cell_00018	sample_04	cohort_gamma	0	5845.0	2241	5.320786997433704
cell_00019	sample_04	cohort_gamma	2	5214.0	1894	6.578442654392022
cell_00020	sample_04	cohort_gamma	3	7028.0	2131	6.402959590210585
cell_00021	sample_04	cohort_gamma	5	19994.0	3499	3.2759827948384515
cell_00022	sample_04	cohort_gamma	1	7617.0	2215	3.190232374950768
cell_00023	sample_04	cohort_gamma	4	9705.0	2194	5.708397733127254
cell_00024	sample_04	cohort_gamma	6	775.0	474	4.387096774193548
cell_00025	sample_04	cohort_gamma	1	20186.0	3428	3.2894085009412466
cell_00026	sample_04	cohort_gamma	4	12779.0	2818	5.125596682056499
cell_00027	sample_04	cohort_gamma	3	6784.0	2481	3.3755896226415096
cell_00028	sample_04	cohort_gamma	6	2668.0	1157	14.205397301349326
cell_00029	sample_04	cohort_gamma	3	20663.0	4019	3.0053719208246625
cell_00030	sample_04	cohort_gamma	3	8806.0	2629	10.629116511469453
cell_00031	sample_04	cohort_gamma	1	13431.0	2683	4.147122328940511
cell_00032	sample_04	cohort_gamma	4	18445.0	3198	3.3884521550555706
cell_00033	sample_04	cohort_gamma	3	12151.0	2643	2.7405151839354787
cell_00034	sample_04	cohort_gamma	4	7994.0	1982	3.940455341506129
cell_00035	sample_04	cohort_gamma	3	14115.0	2457	3.563584838823946
cell_00036	sample_04	cohort_gamma	4	16324.0	3202	4.502572898799314
cell_00037	sample_04	cohort_gamma	6	961.0	611	5.931321540062435
cell_00038	sample_04	cohort_gamma	6	1229.0	614	2.6037428803905613
cell_00039	sample_04	cohort_gamma	3	19454.0	4184	2.457078235838388
cell_00040	sample_04	cohort_gamma	1	1647.0	960	5.160898603521554
cell_00041	sample_04	cohort_gamma	3	4036.0	1665	8.17641228939544
cell_00042	sample_04	cohort_gamma	5	14867.0	3151	5.098540391471043
cell_00043	sample_04	cohort_gamma	4	9705.0	1806	1.3601236476043277
cell_00044	sample_04	cohort_gamma	3	15180.0	3454	5.217391304347826
cell_00045	sample_04	cohort_gamma	4	4636.0	1874	0.9275237273511647
cell_00046	sample_04	cohort_gamma	3	8027.0	2153	1.133673850753706
cell_00047	sample_04	cohort_gamma	1	10805.0	3040	3.9241092086996763
cell_00048	sample_04	cohort_gamma	3	2096.0	1019	20.13358778625954
cell_00049	sample_04	cohort_gamma	4	13297.0	2548	1.9177258028126647
cell_00050	sample_04	cohort_gamma	4	7208.0	2326	4.17591564927858
cell_00051	sample_04	cohort_gamma	1	6402.0	2083	8.075601374570446
cell_00052	sample_04	cohort_gamma	6	5538.0	1669	5.435175153485012
cell_00053	sample_04	cohort_gamma	1	3376.0	1361	9.034360189573459
cell_00054	sample_04	cohort_gamma	1	9419.0	2715	1.7411614821106276
cell_00055	sample_04	cohort_gamma	2	4839.0	1641	0.5166356685265551
cell_00056	sample_04	cohort_gamma	4	13526.0	2813	3.9553452609788557
cell_00057	sample_04	cohort_gamma	2	17530.0	3368	4.312606959498003
cell_00058	sample_04	cohort_gamma	2	17325.0	3769	2.637806637806638
cell_00059	sample_04	cohort_gamma	6	1471.0	756	4.622705642420122
cell_00060	sample_04	cohort_gamma	3	6921.0	1867	1.8783412801618264
cell_00061	sample_04	cohort_gamma	1	19993.0	3444	2.535887560646226
cell_00062	sample_04	cohort_gamma	2	16760.0	3716	4.77326968973747
cell_00063	sample_04	cohort_gamma	0	21971.0	4114	2.621637613217423
cell_00064	sample_04	cohort_gamma	3	4112.0	1760	2.529182879377432
cell_00065	sample_04	cohort_gamma	2	22516.0	3426	2.4960028424231657
cell_00066	sample_04	cohort_gamma	1	11207.0	3135	6.888551797983403
cell_00067	sample_04	cohort_gamma	3	4213.0	1603	1.4004272489912177
cell_00068	sample_04	cohort_gamma	2	8707.0	2696	6.603881934076031
cell_00069	sample_04	cohort_gamma	3	2155.0	1035	1.6705336426914155
cell_00070	sample_04	cohort_gamma	2	15298.0	3227	3.5429467904301215
cell_00071	sample_04	cohort_gamma	3	6116.0	1467	2.5506867233485937
cell_00072	sample_04	cohort_gamma	3	5919.0	1948	5.84558202399054
cell_00073	sample_04	cohort_gamma	2	7398.0	1991	2.18978102189781
cell_00074	sample_04	cohort_gamma	0	16735.0	3830	4.607110845533313
cell_00075	sample_04	cohort_gamma	3	15603.0	3150	1.865025956546818
cell_00076	sample_04	cohort_gamma	2	4270.0	1664	0.5386416861826698
cell_00077	sample_04	cohort_gamma	2	9103.0	2594	2.966055146654949
