ensembl_gene_id	symbol	tx_biotype
ENSG00000104435	STMN2	protein_coding
ENSG00000105894	PTN	protein_coding
ENSG00000115468	EFHD1	protein_coding
ENSG00000163584	RPL22L1	protein_coding
ENSG00000115380	EFEMP1	protein_coding
ENSG00000130176	CNN1	protein_coding
ENSG00000133110	POSTN	protein_coding
ENSG00000126709	IFI6	protein_coding
ENSG00000170624	SGCD	protein_coding
ENSG00000174348	PODN	protein_coding
ENSG00000204941	PSG5	protein_coding
ENSG00000079308	TNS1	protein_coding
ENSG00000049540	ELN	protein_coding
ENSG00000133019	CHRM3	processed_transcript
ENSG00000142552	RCN3	protein_coding
ENSG00000046774	MAGEC2	protein_coding
ENSG00000253159	PCDHGA12	protein_coding
ENSG00000060656	PTPRU	protein_coding
ENSG00000122862	SRGN	processed_transcript
ENSG00000128710	HOXD10	processed_transcript
ENSG00000062524	LTK	protein_coding
ENSG00000163364		lincRNA
ENSG00000196611	MMP1	protein_coding
ENSG00000225783	MIAT	lincRNA
ENSG00000182253	SYNM	protein_coding
ENSG00000085982	USP40	retained_intron
ENSG00000099337	KCNK6	protein_coding
ENSG00000163017	ACTG2	nonsense_mediated_decay
ENSG00000172061	LRRC15	protein_coding
ENSG00000139874	SSTR1	protein_coding
ENSG00000077943	ITGA8	protein_coding
ENSG00000110492	MDK	protein_coding
ENSG00000223812		lincRNA
ENSG00000141510	TP53	protein_coding
ENSG00000166396	SERPINB7	protein_coding
ENSG00000174938	SEZ6L2	protein_coding
ENSG00000187796	CARD9	retained_intron
ENSG00000157601	MX1	processed_transcript
ENSG00000171724	VAT1L	protein_coding
ENSG00000011465	DCN	protein_coding
ENSG00000109846	CRYAB	protein_coding
ENSG00000141837	CACNA1A	protein_coding
ENSG00000001036	FUCA2	protein_coding
ENSG00000168398	BDKRB2	protein_coding
ENSG00000131080	EDA2R	protein_coding
ENSG00000175352	NRIP3	protein_coding
ENSG00000104870	FCGRT	retained_intron
ENSG00000153823	PID1	processed_transcript
ENSG00000122378	PRXL2A	protein_coding
ENSG00000055163	CYFIP2	nonsense_mediated_decay
ENSG00000175879	HOXD8	protein_coding
ENSG00000067445	TRO	protein_coding
ENSG00000073756	PTGS2	protein_coding
ENSG00000163661	PTX3	protein_coding
ENSG00000115107	STEAP3	protein_coding
ENSG00000128656	CHN1	protein_coding
ENSG00000132329	RAMP1	protein_coding
ENSG00000213626	LBH	protein_coding
ENSG00000137868	STRA6	protein_coding
ENSG00000204131	NHSL2	protein_coding
ENSG00000175899	A2M	protein_coding
ENSG00000108947	EFNB3	protein_coding
ENSG00000115641	FHL2	protein_coding
ENSG00000079931	MOXD1	protein_coding
ENSG00000127507	ADGRE2	protein_coding
ENSG00000071575	TRIB2	protein_coding
ENSG00000179046	TRIML2	protein_coding
ENSG00000163071	SPATA18	protein_coding
ENSG00000159388	BTG2	nonsense_mediated_decay
ENSG00000138061	CYP1B1	processed_transcript
ENSG00000148803	FUOM	protein_coding
ENSG00000121413	ZSCAN18	protein_coding
ENSG00000156150	ALX3	protein_coding
ENSG00000087303	NID2	protein_coding
ENSG00000167157	PRRX2	protein_coding
ENSG00000198885	ITPRIPL1	protein_coding
ENSG00000115594	IL1R1	protein_coding
ENSG00000115339	GALNT3	protein_coding
ENSG00000133169	BEX1	protein_coding
ENSG00000132274	TRIM22	protein_coding
ENSG00000071054	MAP4K4	protein_coding
ENSG00000144115	THNSL2	protein_coding
ENSG00000079246	XRCC5	protein_coding
ENSG00000269416	LINC01224	lincRNA
ENSG00000178235	SLITRK1	protein_coding
ENSG00000120337	TNFSF18	protein_coding
ENSG00000197077	KIAA1671	protein_coding
ENSG00000113389	NPR3	protein_coding
ENSG00000109610	SOD3	protein_coding
ENSG00000134308	YWHAQ	protein_coding
ENSG00000038295	TLL1	protein_coding
ENSG00000168016	TRANK1	protein_coding
ENSG00000123453	SARDH	protein_coding
ENSG00000124762	CDKN1A	processed_transcript
ENSG00000115041	KCNIP3	protein_coding
ENSG00000127946	HIP1	protein_coding
ENSG00000103175	WFDC1	protein_coding
ENSG00000158417	EIF5B	protein_coding
ENSG00000132840	BHMT2	protein_coding
ENSG00000163171	CDC42EP3	protein_coding
ENSG00000162512	SDC3	protein_coding
ENSG00000175745	NR2F1	protein_coding
ENSG00000175274	TP53I11	nonsense_mediated_decay
ENSG00000182836	PLCXD3	protein_coding
ENSG00000109472	CPE	protein_coding
ENSG00000144381	HSPD1	protein_coding
ENSG00000130513	GDF15	protein_coding
ENSG00000167972	ABCA3	protein_coding
ENSG00000120875	DUSP4	protein_coding
ENSG00000125730	C3	protein_coding
ENSG00000143028	SYPL2	protein_coding
ENSG00000038427	VCAN	protein_coding
ENSG00000138131	LOXL4	protein_coding
ENSG00000162433	AK4	processed_transcript
ENSG00000271503	CCL5	protein_coding
ENSG00000106537	TSPAN13	protein_coding
ENSG00000164442	CITED2	protein_coding
ENSG00000115226	FNDC4	protein_coding
ENSG00000169174	PCSK9	protein_coding
ENSG00000253148	RGS21	protein_coding
ENSG00000115738	ID2	protein_coding
ENSG00000138413	IDH1	protein_coding
ENSG00000105088	OLFM2	protein_coding
ENSG00000108379	WNT3	protein_coding
ENSG00000165118	C9orf64	protein_coding
ENSG00000105048	TNNT1	protein_coding
ENSG00000105664	COMP	protein_coding
ENSG00000103485	QPRT	protein_coding
ENSG00000082153	BZW1	protein_coding
ENSG00000115484	CCT4	protein_coding
ENSG00000136542	GALNT5	protein_coding
ENSG00000122641	INHBA	protein_coding
ENSG00000072135	PTPN18	protein_coding
ENSG00000085760	MTIF2	protein_coding
ENSG00000124225	PMEPA1	protein_coding
ENSG00000169756	LIMS1	protein_coding
ENSG00000115816	CEBPZ	protein_coding
ENSG00000189058	APOD	protein_coding
ENSG00000107562	CXCL12	protein_coding
ENSG00000035141	FAM136A	protein_coding
ENSG00000197565	COL4A6	protein_coding
ENSG00000105122	RASAL3	protein_coding
ENSG00000091490	SEL1L3	protein_coding
ENSG00000115866	DARS1	protein_coding
ENSG00000149090	PAMR1	protein_coding
ENSG00000115884	SDC1	protein_coding
ENSG00000115461	IGFBP5	protein_coding
ENSG00000196141	SPATS2L	protein_coding
ENSG00000125398	SOX9	protein_coding
ENSG00000198406	BZW1P2	processed_pseudogene
ENSG00000144118	RALB	protein_coding
ENSG00000123485	HJURP	nonsense_mediated_decay
ENSG00000150764	DIXDC1	protein_coding
ENSG00000071967	CYBRD1	protein_coding
ENSG00000101017	CD40	protein_coding
ENSG00000150681	RGS18	protein_coding
ENSG00000165757	JCAD	protein_coding
ENSG00000111981	ULBP1	protein_coding
ENSG00000077380	DYNC1I2	protein_coding
ENSG00000125354	SEPTIN6	protein_coding
ENSG00000128709	HOXD9	protein_coding
ENSG00000124098	FAM210B	protein_coding
ENSG00000161267	BDH1	protein_coding
ENSG00000164176	EDIL3	protein_coding
ENSG00000189420	ZFP92	protein_coding
ENSG00000118246	FASTKD2	protein_coding
ENSG00000101265	RASSF2	processed_transcript
ENSG00000130881	LRP3	protein_coding
ENSG00000163466	ARPC2	protein_coding
ENSG00000138798	EGF	protein_coding
ENSG00000185414	MRPL30	protein_coding
ENSG00000163531	NFASC	processed_transcript
ENSG00000168958	MFF	protein_coding
ENSG00000138363	ATIC	protein_coding
ENSG00000180875	GREM2	protein_coding
ENSG00000181019	NQO1	protein_coding
ENSG00000178814	OPLAH	processed_transcript
ENSG00000162869	PPP1R21	nonsense_mediated_decay
ENSG00000183762	KREMEN1	protein_coding
ENSG00000042493	CAPG	protein_coding
ENSG00000092969	TGFB2	protein_coding
ENSG00000198910	L1CAM	protein_coding
ENSG00000119812	FAM98A	protein_coding
ENSG00000120885	CLU	protein_coding
